Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,Dist-10M,,,Name:,Ben-Humer_speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,23/09/23 12:11,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Single Distance,,,Serial:,2790228,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.23,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,10.9,0.0,00:00:26.8,00:20:50.0,0.40,00:00:00.0,0.00,25.0,9,1.2,0.0,---,---,---,---,---,---,---,---,---,---,43.59256900,-80.24117760


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,10.9,0.0,00:00:26.8,00:20:50.0,0.40,00:00:00.0,0.00,25.0,9,1.2,0.0,---,---,---,---,---,---,---,---,---,---,43.59256900,-80.24117760



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,0.4,0.0,00:00:01.7,---,---,00:00:00.0,0.00,36.0,1,0.4,0.0,---,---,---,---,---,---,---,---,---,---,43.59256900,-80.24117760
1,0.7,0.0,00:00:05.1,00:41:40.0,0.20,00:00:00.0,0.00,13.0,2,0.3,0.0,---,---,---,---,---,---,---,---,---,---,43.59257040,-80.24118090
1,2.1,0.0,00:00:09.9,00:39:40.9,0.21,00:00:00.0,0.00,12.5,3,1.4,0.0,---,---,---,---,---,---,---,---,---,---,43.59256730,-80.24115670
1,3.5,0.0,00:00:11.7,00:16:40.0,0.50,00:00:00.0,0.00,26.0,4,1.5,0.0,---,---,---,---,---,---,---,---,---,---,43.59256360,-80.24113900
1,4.5,0.0,00:00:12.7,00:10:09.7,0.82,00:00:00.0,0.00,53.5,5,0.9,0.0,---,---,---,---,---,---,---,---,---,---,43.59256130,-80.24112770
1,7.9,0.0,00:00:16.1,00:08:51.9,0.94,00:00:00.0,0.00,21.5,6,3.4,0.0,---,---,---,---,---,---,---,---,---,---,43.59255560,-80.24108650
1,9.7,0.0,00:00:20.9,00:10:32.9,0.79,00:00:00.0,0.00,11.5,7,1.9,0.0,---,---,---,---,---,---,---,---,---,---,43.59254660,-80.24106550
1,10.5,0.0,00:00:24.7,00:22:31.3,0.37,00:00:00.0,0.00,23.5,8,0.8,0.0,---,---,---,---,---,---,---,---,---,---,43.59254250,-80.24105730
1,10.7,0.0,00:00:25.6,00:49:01.1,0.17,00:00:00.0,0.00,26.0,9,0.1,0.0,---,---,---,---,---,---,---,---,---,---,43.59254200,-80.24105560
