Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-2934M,,,Name:,Ben-Humer_speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,30/09/23 14:54,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2790228,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.23,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2934.8,0.0,00:12:20.6,00:02:06.2,3.96,00:00:00.0,0.00,23.0,254,11.6,0.0,---,---,---,---,---,---,---,---,---,---,44.34411110,-78.29468580


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2934.8,0.0,00:12:20.6,00:02:06.2,3.96,00:00:00.0,0.00,23.0,254,11.6,0.0,---,---,---,---,---,---,---,---,---,---,44.34411110,-78.29468580



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4.6,0.0,00:00:07.1,00:03:35.5,2.32,00:00:00.0,0.00,8.5,1,4.6,0.0,---,---,---,---,---,---,---,---,---,---,44.34411110,-78.29468580
1,6.7,0.0,00:00:07.9,00:05:42.4,1.46,00:00:00.0,0.00,47.5,2,2.2,0.0,---,---,---,---,---,---,---,---,---,---,44.34409180,-78.29468970
1,14.9,0.0,00:00:10.7,00:03:21.6,2.48,00:00:00.0,0.00,22.0,3,8.1,0.0,---,---,---,---,---,---,---,---,---,---,44.34401980,-78.29470710
1,24.5,0.0,00:00:13.3,00:02:40.2,3.12,00:00:00.0,0.00,23.0,4,9.7,0.0,---,---,---,---,---,---,---,---,---,---,44.34393470,-78.29473080
1,35.3,0.0,00:00:16.1,00:02:10.8,3.82,00:00:00.0,0.00,23.5,5,10.8,0.0,---,---,---,---,---,---,---,---,---,---,44.34383970,-78.29475490
1,47.4,0.0,00:00:18.7,00:01:59.6,4.18,00:00:00.0,0.00,21.5,6,12.1,0.0,---,---,---,---,---,---,---,---,---,---,44.34373260,-78.29478130
1,59.4,0.0,00:00:21.5,00:01:57.0,4.27,00:00:00.0,0.00,21.0,7,12.0,0.0,---,---,---,---,---,---,---,---,---,---,44.34362600,-78.29480670
1,72.5,0.0,00:00:24.5,00:01:56.2,4.30,00:00:00.0,0.00,20.5,8,13.1,0.0,---,---,---,---,---,---,---,---,---,---,44.34350980,-78.29483530
1,85.9,0.0,00:00:27.5,00:01:55.2,4.34,00:00:00.0,0.00,19.5,9,13.3,0.0,---,---,---,---,---,---,---,---,---,---,44.34339190,-78.29486290
1,98.8,0.0,00:00:30.5,00:01:56.2,4.30,00:00:00.0,0.00,20.0,10,12.9,0.0,---,---,---,---,---,---,---,---,---,---,44.34327740,-78.29489100
