Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-3670M,,,Name:,Ben-Humer_speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,12/04/23 08:09,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2790228,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.23,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3670.4,0.0,00:19:06.9,00:02:36.2,3.20,00:00:00.0,0.00,21.0,350,10.5,0.0,156,---,---,---,---,---,---,---,---,---,43.63596870,-79.44831060


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3670.4,0.0,00:19:06.9,00:02:36.2,3.20,00:00:00.0,0.00,21.0,350,10.5,0.0,154,---,---,---,---,---,---,---,---,---,43.63596870,-79.44831060



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1.4,0.0,00:00:02.6,00:26:02.4,0.32,00:00:00.0,0.00,23.0,1,1.4,0.0,131,---,---,---,---,---,---,---,---,---,43.63596870,-79.44831060
1,3.1,0.0,00:00:03.4,00:07:34.5,1.10,00:00:00.0,0.00,36.0,2,1.7,0.0,131,---,---,---,---,---,---,---,---,---,43.63596730,-79.44828950
1,10.0,0.0,00:00:07.0,00:04:40.8,1.78,00:00:00.0,0.00,18.0,3,6.9,0.0,131,---,---,---,---,---,---,---,---,---,43.63595950,-79.44820430
1,17.2,0.0,00:00:10.2,00:04:03.9,2.05,00:00:00.0,0.00,19.0,4,7.2,0.0,132,---,---,---,---,---,---,---,---,---,43.63594780,-79.44811620
1,24.9,0.0,00:00:13.2,00:03:32.7,2.35,00:00:00.0,0.00,19.5,5,7.7,0.0,133,---,---,---,---,---,---,---,---,---,43.63593360,-79.44802320
1,45.3,0.0,00:00:25.8,00:05:16.4,1.58,00:00:00.0,0.00,12.5,6,20.4,0.0,121,---,---,---,---,---,---,---,---,---,43.63585590,-79.44751020
1,54.1,0.0,00:00:35.6,00:10:32.9,0.79,00:00:00.0,0.00,30.0,7,8.8,0.0,123,---,---,---,---,---,---,---,---,---,43.63579800,-79.44724660
1,56.1,0.0,00:00:36.6,00:05:54.6,1.41,00:00:00.0,0.00,54.0,8,2.0,0.0,124,---,---,---,---,---,---,---,---,---,43.63579100,-79.44722380
1,64.4,0.0,00:00:39.8,00:03:36.4,2.31,00:00:00.0,0.00,19.5,9,8.3,0.0,125,---,---,---,---,---,---,---,---,---,43.63576090,-79.44712900
1,74.6,0.0,00:00:43.2,00:02:57.3,2.82,00:00:00.0,0.00,19.5,10,10.2,0.0,129,---,---,---,---,---,---,---,---,---,43.63572190,-79.44701480
1,84.9,0.0,00:00:46.2,00:02:34.3,3.24,00:00:00.0,0.00,19.0,11,10.3,0.0,133,---,---,---,---,---,---,---,---,---,43.63568300,-79.44689920
1,95.5,0.0,00:00:49.2,00:02:27.0,3.40,00:00:00.0,0.00,19.0,12,10.6,0.0,137,---,---,---,---,---,---,---,---,---,43.63564420,-79.44677920
1,106.3,0.0,00:00:52.3,00:02:24.5,3.46,00:00:00.0,0.00,19.5,13,10.8,0.0,141,---,---,---,---,---,---,---,---,---,43.63560360,-79.44665750
1,117.8,0.0,00:00:55.6,00:02:23.6,3.48,00:00:00.0,0.00,18.0,14,11.6,0.0,144,---,---,---,---,---,---,---,---,---,43.63555950,-79.44652740
1,128.6,0.0,00:00:58.8,00:02:26.1,3.42,00:00:00.0,0.00,19.0,15,10.7,0.0,147,---,---,---,---,---,---,---,---,---,43.63551820,-79.44640720
1,139.6,0.0,00:01:02.0,00:02:28.3,3.37,00:00:00.0,0.00,19.0,16,11.0,0.0,149,---,---,---,---,---,---,---,---,---,43.63547850,-79.44628170
1,150.7,0.0,00:01:05.2,00:02:27.4,3.39,00:00:00.0,0.00,18.5,17,11.1,0.0,150,---,---,---,---,---,---,---,---,---,43.63544260,-79.44615360
1,161.7,0.0,00:01:08.4,00:02:26.6,3.41,00:00:00.0,0.00,19.0,18,11.1,0.0,151,---,---,---,---,---,---,---,---,---,43.63540940,-79.44602400
1,173.4,0.0,00:01:11.8,00:02:25.3,3.44,00:00:00.0,0.00,18.0,19,11.7,0.0,152,---,---,---,---,---,---,---,---,---,43.63537530,-79.44588710
1,184.6,0.0,00:01:15.0,00:02:24.0,3.47,00:00:00.0,0.00,18.5,20,11.2,0.0,153,---,---,---,---,---,---,---,---,---,43.63534190,-79.44575640
1,195.9,0.0,00:01:18.2,00:02:22.0,3.52,00:00:00.0,0.00,19.0,21,11.4,0.0,155,---,---,---,---,---,---,---,---,---,43.63530830,-79.44562320
1,205.5,0.0,00:01:21.2,00:02:26.6,3.41,00:00:00.0,0.00,20.5,22,9.5,0.0,156,---,---,---,---,---,---,---,---,---,43.63527560,-79.44551400
1,214.8,0.0,00:01:24.2,00:02:36.7,3.19,00:00:00.0,0.00,20.0,23,9.4,0.0,157,---,---,---,---,---,---,---,---,---,43.63523380,-79.44541280
1,223.6,0.0,00:01:27.0,00:02:40.7,3.11,00:00:00.0,0.00,20.5,24,8.8,0.0,158,---,---,---,---,---,---,---,---,---,43.63518500,-79.44532750
