Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-13256M,,,Name:,Ben-Humer_speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,04/28/2023 06:55,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2790228,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.23,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,13256.4,0.0,00:58:42.3,00:02:13.0,3.76,00:00:00.0,0.00,24.0,1329,10.0,0.0,---,---,---,---,---,---,---,---,---,---,43.6315999,-79.4370410


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,13256.4,0.0,00:58:42.3,00:02:13.0,3.76,00:00:00.0,0.00,24.0,1329,10.0,0.0,---,---,---,---,---,---,---,---,---,---,43.6315999,-79.4370410



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2.1,0.0,00:00:01.5,00:06:13.1,1.34,00:00:00.0,0.00,39.5,1,2.1,0.0,---,---,---,---,---,---,---,---,---,---,43.6315999,-79.4370410
1,4.4,0.0,00:00:03.1,00:05:59.7,1.39,00:00:00.0,0.00,39.5,2,2.3,0.0,---,---,---,---,---,---,---,---,---,---,43.6315904,-79.4370156
1,6.8,0.0,00:00:04.7,00:05:44.8,1.45,00:00:00.0,0.00,39.5,3,2.4,0.0,---,---,---,---,---,---,---,---,---,---,43.6315793,-79.4369894
1,9.0,0.0,00:00:06.1,00:05:31.1,1.51,00:00:00.0,0.00,39.5,4,2.2,0.0,---,---,---,---,---,---,---,---,---,---,43.6315682,-79.4369668
1,11.6,0.0,00:00:07.7,00:05:18.5,1.57,00:00:00.0,0.00,39.5,5,2.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6315554,-79.4369397
1,16.5,0.0,00:00:10.7,00:05:10.6,1.61,00:00:00.0,0.00,19.5,6,4.9,0.0,---,---,---,---,---,---,---,---,---,---,43.6315304,-79.4368896
1,25.0,0.0,00:00:16.2,00:05:08.6,1.62,00:00:00.0,0.00,16.0,7,8.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6314875,-79.4368024
1,28.1,0.0,00:00:18.1,00:05:18.5,1.57,00:00:00.0,0.00,17.0,8,3.1,0.0,---,---,---,---,---,---,---,---,---,---,43.6314719,-79.4367710
1,30.6,0.0,00:00:19.7,00:05:22.6,1.55,00:00:00.0,0.00,32.5,9,2.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6314584,-79.4367453
1,33.6,0.0,00:00:21.5,00:05:12.5,1.60,00:00:00.0,0.00,34.0,10,2.9,0.0,---,---,---,---,---,---,---,---,---,---,43.6314425,-79.4367163
1,36.6,0.0,00:00:23.3,00:05:03.0,1.65,00:00:00.0,0.00,36.0,11,3.1,0.0,---,---,---,---,---,---,---,---,---,---,43.6314258,-79.4366859
1,39.4,0.0,00:00:25.1,00:04:54.1,1.70,00:00:00.0,0.00,34.0,12,2.8,0.0,---,---,---,---,---,---,---,---,---,---,43.6314116,-79.4366580
1,42.2,0.0,00:00:26.5,00:04:47.4,1.74,00:00:00.0,0.00,37.5,13,2.8,0.0,---,---,---,---,---,---,---,---,---,---,43.6313969,-79.4366298
1,45.1,0.0,00:00:28.2,00:04:40.9,1.78,00:00:00.0,0.00,34.5,14,2.9,0.0,---,---,---,---,---,---,---,---,---,---,43.6313823,-79.4366000
1,48.7,0.0,00:00:30.1,00:04:36.2,1.81,00:00:00.0,0.00,35.5,15,3.7,0.0,---,---,---,---,---,---,---,---,---,---,43.6313635,-79.4365628
1,51.4,0.0,00:00:31.5,00:04:33.2,1.83,00:00:00.0,0.00,37.5,16,2.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6313509,-79.4365354
1,54.4,0.0,00:00:33.1,00:04:31.7,1.84,00:00:00.0,0.00,37.5,17,3.0,0.0,---,---,---,---,---,---,---,---,---,---,43.6313362,-79.4365043
