Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,Dist-3200M,,,Name:,Ben-Humer_speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,04/30/2023 06:33,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Single Distance,,,Serial:,2790228,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.23,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3200.4,0.0,00:11:04.9,00:01:44.0,4.81,00:00:00.0,0.00,34.0,379,8.4,0.0,---,---,---,---,---,---,---,---,---,---,43.6298103,-79.4211984


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3200.4,0.0,00:11:04.9,00:01:44.0,4.81,00:00:00.0,0.00,34.0,379,8.4,0.0,---,---,---,---,---,---,---,---,---,---,43.6298103,-79.4211984



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3.0,0.0,00:00:02.3,00:08:57.6,0.93,00:00:00.0,0.00,26.0,1,3.0,0.0,---,---,---,---,---,---,---,---,---,---,43.6298103,-79.4211984
1,9.1,0.0,00:00:04.3,00:04:05.1,2.04,00:00:00.0,0.00,31.5,2,6.1,0.0,---,---,---,---,---,---,---,---,---,---,43.6298045,-79.4212739
1,16.3,0.0,00:00:06.1,00:02:31.1,3.31,00:00:00.0,0.00,32.5,3,7.2,0.0,---,---,---,---,---,---,---,---,---,---,43.6297982,-79.4213629
1,24.5,0.0,00:00:07.9,00:02:03.5,4.05,00:00:00.0,0.00,36.0,4,8.2,0.0,---,---,---,---,---,---,---,---,---,---,43.6297901,-79.4214644
1,32.5,0.0,00:00:09.5,00:01:48.9,4.59,00:00:00.0,0.00,34.5,5,8.0,0.0,---,---,---,---,---,---,---,---,---,---,43.6297861,-79.4215632
1,41.7,0.0,00:00:11.3,00:01:41.0,4.95,00:00:00.0,0.00,37.5,6,9.2,0.0,---,---,---,---,---,---,---,---,---,---,43.6297790,-79.4216770
1,49.4,0.0,00:00:12.9,00:01:37.1,5.15,00:00:00.0,0.00,36.0,7,7.7,0.0,---,---,---,---,---,---,---,---,---,---,43.6297729,-79.4217721
1,58.9,0.0,00:00:14.5,00:01:33.1,5.37,00:00:00.0,0.00,36.0,8,9.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6297661,-79.4218894
1,67.5,0.0,00:00:16.1,00:01:32.1,5.43,00:00:00.0,0.00,37.0,9,8.7,0.0,---,---,---,---,---,---,---,---,---,---,43.6297614,-79.4219971
1,77.2,0.0,00:00:17.9,00:01:31.2,5.48,00:00:00.0,0.00,35.5,10,9.7,0.0,---,---,---,---,---,---,---,---,---,---,43.6297542,-79.4221165
1,86.0,0.0,00:00:19.5,00:01:31.1,5.49,00:00:00.0,0.00,36.0,11,8.8,0.0,---,---,---,---,---,---,---,---,---,---,43.6297479,-79.4222255
1,94.9,0.0,00:00:21.1,00:01:32.1,5.43,00:00:00.0,0.00,37.0,12,8.9,0.0,---,---,---,---,---,---,---,---,---,---,43.6297406,-79.4223350
1,103.7,0.0,00:00:22.7,00:01:31.9,5.44,00:00:00.0,0.00,36.0,13,8.8,0.0,---,---,---,---,---,---,---,---,---,---,43.6297357,-79.4224443
1,112.4,0.0,00:00:24.3,00:01:31.4,5.47,00:00:00.0,0.00,36.0,14,8.7,0.0,---,---,---,---,---,---,---,---,---,---,43.6297296,-79.4225519
1,121.2,0.0,00:00:25.9,00:01:32.4,5.41,00:00:00.0,0.00,37.5,15,8.8,0.0,---,---,---,---,---,---,---,---,---,---,43.6297231,-79.4226610
1,131.0,0.0,00:00:27.9,00:01:32.1,5.43,00:00:00.0,0.00,36.0,16,9.8,0.0,---,---,---,---,---,---,---,---,---,---,43.6297142,-79.4227815
1,139.7,0.0,00:00:29.3,00:01:31.6,5.46,00:00:00.0,0.00,37.0,17,8.7,0.0,---,---,---,---,---,---,---,---,---,---,43.6297076,-79.4228894
1,147.6,0.0,00:00:30.9,00:01:32.4,5.41,00:00:00.0,0.00,35.5,18,7.8,0.0,---,---,---,---,---,---,---,---,---,---,43.6297011,-79.4229865
1,157.2,0.0,00:00:32.5,00:01:30.6,5.52,00:00:00.0,0.00,37.5,19,9.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6296934,-79.4231054
1,165.1,0.0,00:00:34.0,00:01:30.1,5.55,00:00:00.0,0.00,36.0,20,8.0,0.0,---,---,---,---,---,---,---,---,---,---,43.6296882,-79.4232039
1,174.7,0.0,00:00:35.7,00:01:30.6,5.52,00:00:00.0,0.00,37.5,21,9.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6296820,-79.4233226
1,184.3,0.0,00:00:37.5,00:01:31.6,5.46,00:00:00.0,0.00,36.0,22,9.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6296761,-79.4234407
1,192.9,0.0,00:00:39.1,00:01:32.8,5.39,00:00:00.0,0.00,37.5,23,8.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6296739,-79.4235476
1,201.6,0.0,00:00:40.7,00:01:33.3,5.36,00:00:00.0,0.00,35.5,24,8.8,0.0,---,---,---,---,---,---,---,---,---,---,43.6296658,-79.4236558
1,210.3,0.0,00:00:42.3,00:01:32.9,5.38,00:00:00.0,0.00,36.0,25,8.7,0.0,---,---,---,---,---,---,---,---,---,---,43.6296587,-79.4237633
1,219.1,0.0,00:00:43.9,00:01:33.3,5.36,00:00:00.0,0.00,37.0,26,8.7,0.0,---,---,---,---,---,---,---,---,---,---,43.6296492,-79.4238709
1,228.6,0.0,00:00:45.9,00:01:33.1,5.37,00:00:00.0,0.00,36.0,27,9.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6296419,-79.4239885
1,237.2,0.0,00:00:47.3,00:01:33.6,5.34,00:00:00.0,0.00,37.5,28,8.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6296342,-79.4240949
1,244.9,0.0,00:00:48.9,00:01:34.9,5.27,00:00:00.0,0.00,35.5,29,7.7,0.0,---,---,---,---,---,---,---,---,---,---,43.6296274,-79.4241897
1,254.2,0.0,00:00:50.5,00:01:32.8,5.39,00:00:00.0,0.00,36.0,30,9.3,0.0,---,---,---,---,---,---,---,---,---,---,43.6296207,-79.4243046
1,262.6,0.0,00:00:52.1,00:01:32.9,5.38,00:00:00.0,0.00,36.0,31,8.4,0.0,---,---,---,---,---,---,---,---,---,---,43.6296155,-79.4244086
1,272.0,0.0,00:00:53.9,00:01:34.3,5.30,00:00:00.0,0.00,37.0,32,9.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6296094,-79.4245259
1,280.6,0.0,00:00:55.5,00:01:35.2,5.25,00:00:00.0,0.00,35.5,33,8.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6296032,-79.4246321
1,289.1,0.0,00:00:57.1,00:01:35.2,5.25,00:00:00.0,0.00,36.0,34,8.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6295966,-79.4247375
1,297.7,0.0,00:00:58.7,00:01:34.7,5.28,00:00:00.0,0.00,36.0,35,8.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6295876,-79.4248432
1,307.1,0.0,00:01:00.5,00:01:35.6,5.23,00:00:00.0,0.00,35.5,36,9.4,0.0,---,---,---,---,---,---,---,---,---,---,43.6295811,-79.4249589
1,315.6,0.0,00:01:02.1,00:01:36.3,5.19,00:00:00.0,0.00,36.0,37,8.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6295780,-79.4250643
1,324.0,0.0,00:01:03.9,00:01:35.6,5.23,00:00:00.0,0.00,34.0,38,8.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6295778,-79.4251695
1,334.3,0.0,00:01:05.7,00:01:34.2,5.31,00:00:00.0,0.00,34.5,39,10.3,0.0,---,---,---,---,---,---,---,---,---,---,43.6295776,-79.4252970
1,342.8,0.0,00:01:07.3,00:01:34.7,5.28,00:00:00.0,0.00,34.0,40,8.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6295764,-79.4254023
1,352.2,0.0,00:01:09.1,00:01:36.2,5.20,00:00:00.0,0.00,35.5,41,9.4,0.0,---,---,---,---,---,---,---,---,---,---,43.6295748,-79.4255188
1,361.5,0.0,00:01:10.9,00:01:36.2,5.20,00:00:00.0,0.00,34.0,42,9.3,0.0,---,---,---,---,---,---,---,---,---,---,43.6295734,-79.4256340
1,369.7,0.0,00:01:12.5,00:01:36.7,5.17,00:00:00.0,0.00,34.0,43,8.2,0.0,---,---,---,---,---,---,---,---,---,---,43.6295733,-79.4257362
1,378.6,0.0,00:01:14.3,00:01:40.4,4.98,00:00:00.0,0.00,34.0,44,8.9,0.0,---,---,---,---,---,---,---,---,---,---,43.6295742,-79.4258466
