Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-3662M,,,Name:,Ben-Humer_speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,04/30/2023 06:07,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2790228,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.23,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3662.9,0.0,00:17:31.9,00:02:23.7,3.48,00:00:00.0,0.00,26.0,390,9.4,0.0,---,---,---,---,---,---,---,---,---,---,43.6320100,-79.4371495


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3662.9,0.0,00:17:31.9,00:02:23.7,3.48,00:00:00.0,0.00,26.0,390,9.4,0.0,---,---,---,---,---,---,---,---,---,---,43.6320100,-79.4371495



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,10.0,0.0,00:00:06.4,00:00:00.0,0.00,00:00:00.0,0.00,9.0,1,10.0,0.0,---,---,---,---,---,---,---,---,---,---,43.6320100,-79.4371495
1,12.5,0.0,00:00:07.8,00:05:04.9,1.64,00:00:00.0,0.00,37.5,2,2.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6320161,-79.4371790
1,15.4,0.0,00:00:09.4,00:04:45.7,1.75,00:00:00.0,0.00,36.0,3,2.9,0.0,---,---,---,---,---,---,---,---,---,---,43.6320232,-79.4372134
1,18.2,0.0,00:00:11.2,00:04:40.9,1.78,00:00:00.0,0.00,36.0,4,2.9,0.0,---,---,---,---,---,---,---,---,---,---,43.6320312,-79.4372475
1,21.2,0.0,00:00:12.6,00:04:36.2,1.81,00:00:00.0,0.00,44.0,5,3.0,0.0,---,---,---,---,---,---,---,---,---,---,43.6320398,-79.4372825
1,24.7,0.0,00:00:14.4,00:04:26.0,1.88,00:00:00.0,0.00,30.0,6,3.4,0.0,---,---,---,---,---,---,---,---,---,---,43.6320506,-79.4373224
1,29.7,0.0,00:00:17.2,00:04:19.1,1.93,00:00:00.0,0.00,26.0,7,5.0,0.0,---,---,---,---,---,---,---,---,---,---,43.6320669,-79.4373804
1,34.2,0.0,00:00:19.2,00:04:12.5,1.98,00:00:00.0,0.00,26.0,8,4.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6320829,-79.4374315
1,38.4,0.0,00:00:21.2,00:04:02.7,2.06,00:00:00.0,0.00,29.0,9,4.3,0.0,---,---,---,---,---,---,---,---,---,---,43.6320994,-79.4374797
1,42.5,0.0,00:00:23.2,00:03:51.5,2.16,00:00:00.0,0.00,29.0,10,4.0,0.0,---,---,---,---,---,---,---,---,---,---,43.6321150,-79.4375247
1,47.5,0.0,00:00:25.2,00:03:41.2,2.26,00:00:00.0,0.00,29.0,11,5.0,0.0,---,---,---,---,---,---,---,---,---,---,43.6321358,-79.4375801
1,52.1,0.0,00:00:27.2,00:03:37.4,2.30,00:00:00.0,0.00,30.0,12,4.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6321549,-79.4376313
1,56.4,0.0,00:00:29.2,00:03:36.4,2.31,00:00:00.0,0.00,31.5,13,4.2,0.0,---,---,---,---,---,---,---,---,---,---,43.6321721,-79.4376782
1,62.1,0.0,00:00:31.4,00:03:33.7,2.34,00:00:00.0,0.00,31.5,14,5.7,0.0,---,---,---,---,---,---,---,---,---,---,43.6321970,-79.4377401
1,67.0,0.0,00:00:33.6,00:03:35.5,2.32,00:00:00.0,0.00,24.5,15,4.9,0.0,---,---,---,---,---,---,---,---,---,---,43.6322190,-79.4377924
1,71.8,0.0,00:00:35.8,00:03:43.2,2.24,00:00:00.0,0.00,27.0,16,4.9,0.0,---,---,---,---,---,---,---,---,---,---,43.6322406,-79.4378453
1,76.3,0.0,00:00:37.8,00:03:43.2,2.24,00:00:00.0,0.00,29.0,17,4.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6322601,-79.4378941
1,81.3,0.0,00:00:40.1,00:03:42.2,2.25,00:00:00.0,0.00,29.0,18,5.0,0.0,---,---,---,---,---,---,---,---,---,---,43.6322816,-79.4379484
1,85.8,0.0,00:00:42.0,00:03:42.2,2.25,00:00:00.0,0.00,28.0,19,4.5,0.0,---,---,---,---,---,---,---,---,---,---,43.6323008,-79.4379978
1,90.4,0.0,00:00:44.2,00:03:40.3,2.27,00:00:00.0,0.00,30.0,20,4.6,0.0,---,---,---,---,---,---,---,---,---,---,43.6323214,-79.4380471
1,95.5,0.0,00:00:46.3,00:03:37.4,2.30,00:00:00.0,0.00,27.0,21,5.1,0.0,---,---,---,---,---,---,---,---,---,---,43.6323449,-79.4381012
1,100.7,0.0,00:00:48.4,00:03:35.5,2.32,00:00:00.0,0.00,27.0,22,5.2,0.0,---,---,---,---,---,---,---,---,---,---,43.6323696,-79.4381554
1,106.6,0.0,00:00:51.0,00:03:36.4,2.31,00:00:00.0,0.00,24.5,23,6.0,0.0,---,---,---,---,---,---,---,---,---,---,43.6323971,-79.4382190
1,111.5,0.0,00:00:53.2,00:03:34.6,2.33,00:00:00.0,0.00,26.0,24,4.9,0.0,---,---,---,---,---,---,---,---,---,---,43.6324212,-79.4382700
1,117.9,0.0,00:00:55.6,00:03:24.1,2.45,00:00:00.0,0.00,25.0,25,6.4,0.0,---,---,---,---,---,---,---,---,---,---,43.6324506,-79.4383380
