Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-11903M,,,Name:,Ben-Humer_speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,05/16/2023 06:24,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2790228,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.23,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,11903.2,0.0,01:04:42.2,00:02:43.4,3.06,00:00:00.0,0.00,21.5,1279,9.3,0.0,---,---,---,---,---,---,---,---,---,---,49.1797097,-123.1449842


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,11903.2,0.0,01:04:42.2,00:02:43.4,3.06,00:00:00.0,0.00,21.5,1279,9.3,0.0,---,---,---,---,---,---,---,---,---,---,49.1797097,-123.1449842



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2.0,0.0,00:00:02.1,00:17:43.8,0.47,00:00:00.0,0.00,29.0,1,2.0,0.0,---,---,---,---,---,---,---,---,---,---,49.1797097,-123.1449842
1,5.2,0.0,00:00:05.1,00:08:40.8,0.96,00:00:00.0,0.00,20.5,2,3.2,0.0,---,---,---,---,---,---,---,---,---,---,49.1797363,-123.1449662
1,8.7,0.0,00:00:08.1,00:08:00.8,1.04,00:00:00.0,0.00,19.5,3,3.5,0.0,---,---,---,---,---,---,---,---,---,---,49.1797635,-123.1449406
1,12.7,0.0,00:00:11.1,00:07:07.4,1.17,00:00:00.0,0.00,21.0,4,3.9,0.0,---,---,---,---,---,---,---,---,---,---,49.1797930,-123.1449102
1,16.5,0.0,00:00:13.9,00:06:33.7,1.27,00:00:00.0,0.00,22.0,5,3.8,0.0,---,---,---,---,---,---,---,---,---,---,49.1798219,-123.1448823
1,20.1,0.0,00:00:16.5,00:06:10.4,1.35,00:00:00.0,0.00,21.0,6,3.7,0.0,---,---,---,---,---,---,---,---,---,---,49.1798496,-123.1448553
1,24.0,0.0,00:00:19.4,00:06:02.3,1.38,00:00:00.0,0.00,21.5,7,3.9,0.0,---,---,---,---,---,---,---,---,---,---,49.1798788,-123.1448259
1,28.0,0.0,00:00:22.3,00:05:54.6,1.41,00:00:00.0,0.00,21.0,8,4.0,0.0,---,---,---,---,---,---,---,---,---,---,49.1799083,-123.1447956
1,32.1,0.0,00:00:25.3,00:05:52.1,1.42,00:00:00.0,0.00,20.0,9,4.1,0.0,---,---,---,---,---,---,---,---,---,---,49.1799392,-123.1447642
1,36.4,0.0,00:00:28.3,00:05:52.1,1.42,00:00:00.0,0.00,21.0,10,4.3,0.0,---,---,---,---,---,---,---,---,---,---,49.1799705,-123.1447303
1,40.6,0.0,00:00:31.3,00:05:52.1,1.42,00:00:00.0,0.00,20.5,11,4.3,0.0,---,---,---,---,---,---,---,---,---,---,49.1800000,-123.1446930
1,44.8,0.0,00:00:33.9,00:05:52.1,1.42,00:00:00.0,0.00,20.5,12,4.2,0.0,---,---,---,---,---,---,---,---,---,---,49.1800285,-123.1446556
1,49.5,0.0,00:00:36.9,00:05:42.5,1.46,00:00:00.0,0.00,21.0,13,4.6,0.0,---,---,---,---,---,---,---,---,---,---,49.1800596,-123.1446133
1,54.2,0.0,00:00:40.3,00:05:37.8,1.48,00:00:00.0,0.00,19.0,14,4.8,0.0,---,---,---,---,---,---,---,---,---,---,49.1800918,-123.1445696
1,58.7,0.0,00:00:43.3,00:05:44.8,1.45,00:00:00.0,0.00,18.5,15,4.5,0.0,---,---,---,---,---,---,---,---,---,---,49.1801213,-123.1445280
1,63.1,0.0,00:00:46.3,00:05:49.6,1.43,00:00:00.0,0.00,18.5,16,4.4,0.0,---,---,---,---,---,---,---,---,---,---,49.1801494,-123.1444858
1,67.5,0.0,00:00:49.3,00:05:44.8,1.45,00:00:00.0,0.00,20.5,17,4.4,0.0,---,---,---,---,---,---,---,---,---,---,49.1801764,-123.1444416
1,72.5,0.0,00:00:52.5,00:05:35.6,1.49,00:00:00.0,0.00,20.5,18,5.1,0.0,---,---,---,---,---,---,---,---,---,---,49.1802072,-123.1443908
1,76.8,0.0,00:00:55.4,00:05:31.1,1.51,00:00:00.0,0.00,18.5,19,4.3,0.0,---,---,---,---,---,---,---,---,---,---,49.1802343,-123.1443496
