Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-15526M,,,Name:,Ben-Humer_speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,28/08/23 03:29,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2790228,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.23,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,15526.7,0.0,01:15:13.4,00:02:25.3,3.44,00:00:00.0,0.00,20.0,1409,11.0,0.0,---,---,---,---,---,---,---,---,---,---,43.62977000,-79.42002460


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,15526.7,0.0,01:15:13.4,00:02:25.3,3.44,00:00:00.0,0.00,20.0,1409,11.0,0.0,---,---,---,---,---,---,---,---,---,---,43.62977000,-79.42002460



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,6.3,0.0,00:00:03.9,---,---,00:00:00.0,0.00,15.5,1,6.3,0.0,---,---,---,---,---,---,---,---,---,---,43.62977000,-79.42002460
1,17.4,0.0,00:00:07.5,00:03:33.6,2.34,00:00:00.0,0.00,18.0,2,11.1,0.0,---,---,---,---,---,---,---,---,---,---,43.62978020,-79.42016180
1,29.0,0.0,00:00:10.7,00:02:30.6,3.32,00:00:00.0,0.00,19.0,3,11.7,0.0,---,---,---,---,---,---,---,---,---,---,43.62978940,-79.42030600
1,40.5,0.0,00:00:13.7,00:02:15.8,3.68,00:00:00.0,0.00,19.5,4,11.4,0.0,---,---,---,---,---,---,---,---,---,---,43.62979600,-79.42044770
1,52.9,0.0,00:00:16.9,00:02:10.2,3.84,00:00:00.0,0.00,19.0,5,12.4,0.0,---,---,---,---,---,---,---,---,---,---,43.62979810,-79.42060140
1,64.8,0.0,00:00:19.9,00:02:07.8,3.91,00:00:00.0,0.00,19.5,6,11.9,0.0,---,---,---,---,---,---,---,---,---,---,43.62980060,-79.42074940
1,77.2,0.0,00:00:23.1,00:02:07.8,3.91,00:00:00.0,0.00,19.5,7,12.4,0.0,---,---,---,---,---,---,---,---,---,---,43.62979760,-79.42090270
1,89.0,0.0,00:00:26.1,00:02:07.8,3.91,00:00:00.0,0.00,20.0,8,11.8,0.0,---,---,---,---,---,---,---,---,---,---,43.62979480,-79.42104920
1,100.7,0.0,00:00:29.1,00:02:07.5,3.92,00:00:00.0,0.00,20.5,9,11.8,0.0,---,---,---,---,---,---,---,---,---,---,43.62979590,-79.42119550
1,112.6,0.0,00:00:32.1,00:02:07.2,3.93,00:00:00.0,0.00,20.0,10,11.9,0.0,---,---,---,---,---,---,---,---,---,---,43.62979360,-79.42134300
1,125.2,0.0,00:00:35.3,00:02:06.5,3.95,00:00:00.0,0.00,19.0,11,12.6,0.0,---,---,---,---,---,---,---,---,---,---,43.62978760,-79.42149890
